qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_name,description
B4KE22|Drosophila_mojavensisREF,Q9VDF8,52.381,231,110,0,20,250,20,250,3.19e-93,275.0,Dmel\CG31189,Protein takeout
B4KE22|Drosophila_mojavensisREF,Q8MSJ6,46.748,246,131,0,5,250,4,249,8.94e-82,245.0,CG7096,GH08336p
B4KE22|Drosophila_mojavensisREF,Q9VDF7,44.664,253,138,2,1,252,1,252,2.6e-77,234.0,Dmel\CG7079,IP10158p
B4KE22|Drosophila_mojavensisREF,Q9VDF6,32.114,246,159,7,6,248,3,243,2.28e-37,131.0,Jhbp15,Juvenile hormone binding protein 15
B4KE22|Drosophila_mojavensisREF,Q9VBV4,26.639,244,177,2,7,249,6,248,3.04e-30,113.0,Jhbp7,Juvenile hormone binding protein 7
B4KE22|Drosophila_mojavensisREF,Q9VBV1,26.295,251,176,7,4,249,3,249,7.33e-24,96.3,Dmel\CG11854,Protein takeout
B4KE22|Drosophila_mojavensisREF,A0A0B4LHM9,22.311,251,182,4,4,248,2,245,7.5e-18,80.1,to,"Takeout, isoform B"
B4KE22|Drosophila_mojavensisREF,Q9VBV3,22.311,251,182,4,4,248,2,245,7.5e-18,80.1,to,Protein takeout
B4KE22|Drosophila_mojavensisREF,Q9VEZ6,24.893,233,161,5,22,248,33,257,6.25e-17,77.8,Jhbp5,"Juvenile hormone binding protein 5, isoform A"
B4KE22|Drosophila_mojavensisREF,Q9VN72,21.633,245,183,5,6,246,5,244,6.75e-17,77.4,Jhbp2,FI17305p1
B4KE22|Drosophila_mojavensisREF,Q9VN71,24.096,249,178,4,4,248,3,244,2.96e-16,75.9,Jhbp3,"Juvenile hormone binding protein 3, isoform A"
B4KE22|Drosophila_mojavensisREF,A0A126GUV0,24.473,237,161,6,22,248,33,261,6.74e-15,72.4,Jhbp5,"Juvenile hormone binding protein 5, isoform C"
B4KE22|Drosophila_mojavensisREF,A0A0B4KF22,21.2,250,183,6,6,246,5,249,7e-15,72.0,Jhbp2,"Juvenile hormone binding protein 2, isoform E"
B4KE22|Drosophila_mojavensisREF,Q9VC67,23.043,230,170,4,22,249,27,251,5.55e-14,69.7,Jhbp12,Juvenile hormone binding protein 12
B4KE22|Drosophila_mojavensisREF,O76879,19.481,231,179,4,23,248,29,257,3.41e-11,61.6,dyw,Circadian clock-controlled protein daywake
B4KE22|Drosophila_mojavensisREF,D3DMT7,23.077,182,134,4,66,246,2,178,1.54e-10,58.9,Jhbp2,"Juvenile hormone binding protein 2, isoform C"
B4KE22|Drosophila_mojavensisREF,Q9VB79,22.768,224,163,5,22,239,41,260,2.65e-10,59.3,Dmel\CG14259,IP09473p
B4KE22|Drosophila_mojavensisREF,Q59E08,23.673,245,172,6,6,239,4,244,6.72e-09,55.1,Jhbp6,"Juvenile hormone binding protein 6, isoform B"
B4KE22|Drosophila_mojavensisREF,Q9Y143,24.893,233,149,10,22,243,34,251,8.59e-09,54.7,Jhbp14,BcDNA.GH05536
B4KE22|Drosophila_mojavensisREF,Q9VEZ7,24.885,217,152,5,28,242,52,259,1.49e-08,54.3,Jhbp4,Juvenile hormone binding protein 4
B4KE22|Drosophila_mojavensisREF,M9PIL1,22.541,244,175,5,6,239,4,243,6.62e-08,52.4,Jhbp6,"Juvenile hormone binding protein 6, isoform C"
B4KE22|Drosophila_mojavensisREF,Q9VN73,20.319,251,185,6,5,249,4,245,1.31e-07,51.2,Jhbp1,Juvenile hormone binding protein 1
