protein1,protein2,protein1_cluster,protein2_cluster,cluster_key,sequence_divergence,patristic_distance,tm_score
P005067004171_Drosophila_biarmipes_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7201646090534979,2.489464964,0.87001
P005067004172_Drosophila_biarmipes_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7201646090534979,2.489464964,0.87672
P005070006661_Drosophila_bunnanda_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6888888888888889,2.489225022,0.95458
P005070006662_Drosophila_bunnanda_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6888888888888889,2.489225022,0.86615
P005071004180_Drosophila_busckii_part1_of1,P005071007432_Drosophila_busckii_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6933333333333334,2.09854661,0.92389
P005071007432_Drosophila_busckii_part1_of1,P005071004180_Drosophila_busckii_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6933333333333334,2.09854661,0.92389
P005072008715_Drosophila_elegans_part1_of1,P005072008716_Drosophila_elegans_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.466362774,0.87531
P005072008716_Drosophila_elegans_part1_of1,P005072008715_Drosophila_elegans_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.466362774,0.8821
P005074010565_Drosophila_eugracilis_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7078189300411523,2.435329513,0.89487
P005074010571_Drosophila_eugracilis_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7078189300411523,2.435329513,0.88795
