protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key,species1,species2
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.85643,0.7377049180327868,2.444020595,Cluster_4,Cluster_2,Cluster_2_Cluster_4,Drosophila_mojavensisREF,Drosophila_melanogaster
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.8825,0.782258064516129,3.221717099,Cluster_4,Cluster_1,Cluster_1_Cluster_4,Drosophila_mojavensisREF,Drosophila_melanogaster
B4KE22_Drosophila_mojavensisREF_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92097,0.782258064516129,3.221717099,Cluster_4,Cluster_1,Cluster_1_Cluster_4,Drosophila_mojavensisREF,Drosophila_melanogasterREF
P005083008909_Drosophila_melanogaster_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.86612,0.7377049180327868,2.444020595,Cluster_2,Cluster_4,Cluster_2_Cluster_4,Drosophila_melanogaster,Drosophila_mojavensisREF
P005083008909_Drosophila_melanogaster_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.90482,0.2128514056224899,0.4445357519999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2,Drosophila_melanogaster,Drosophila_mojavensis
P005083008909_Drosophila_melanogaster_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.84586,0.6666666666666667,2.063073893,Cluster_2,Cluster_1,Cluster_1_Cluster_2,Drosophila_melanogaster,Drosophila_mojavensis
P005083008910_Drosophila_melanogaster_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.89601,0.782258064516129,3.221717099,Cluster_1,Cluster_4,Cluster_1_Cluster_4,Drosophila_melanogaster,Drosophila_mojavensisREF
P005083008910_Drosophila_melanogaster_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.86764,0.6900826446280992,2.584468988,Cluster_1,Cluster_2,Cluster_1_Cluster_2,Drosophila_melanogaster,Drosophila_mojavensis
P005083008910_Drosophila_melanogaster_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87025,0.4688796680497925,1.121549531,Cluster_1,Cluster_1,Cluster_1_Cluster_1,Drosophila_melanogaster,Drosophila_mojavensis
P005085005288_Drosophila_mojavensis_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.88742,0.2128514056224899,0.4445357519999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2,Drosophila_mojavensis,Drosophila_melanogaster
P005085005288_Drosophila_mojavensis_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.84827,0.6900826446280992,2.584468988,Cluster_2,Cluster_1,Cluster_1_Cluster_2,Drosophila_mojavensis,Drosophila_melanogaster
P005085005288_Drosophila_mojavensis_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.84465,0.6900826446280992,2.584468988,Cluster_2,Cluster_1,Cluster_1_Cluster_2,Drosophila_mojavensis,Drosophila_melanogasterREF
P005085005289_Drosophila_mojavensis_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.86231,0.6666666666666667,2.063073893,Cluster_1,Cluster_2,Cluster_1_Cluster_2,Drosophila_mojavensis,Drosophila_melanogaster
P005085005289_Drosophila_mojavensis_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.88389,0.4688796680497925,1.121549531,Cluster_1,Cluster_1,Cluster_1_Cluster_1,Drosophila_mojavensis,Drosophila_melanogaster
P005085005289_Drosophila_mojavensis_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.91619,0.4688796680497925,1.121549531,Cluster_1,Cluster_1,Cluster_1_Cluster_1,Drosophila_mojavensis,Drosophila_melanogasterREF
Q9VBV3_Drosophila_melanogasterREF_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.93501,0.782258064516129,3.221717099,Cluster_1,Cluster_4,Cluster_1_Cluster_4,Drosophila_melanogasterREF,Drosophila_mojavensisREF
Q9VBV3_Drosophila_melanogasterREF_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.86381,0.6900826446280992,2.584468988,Cluster_1,Cluster_2,Cluster_1_Cluster_2,Drosophila_melanogasterREF,Drosophila_mojavensis
Q9VBV3_Drosophila_melanogasterREF_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.90209,0.4688796680497925,1.121549531,Cluster_1,Cluster_1,Cluster_1_Cluster_1,Drosophila_melanogasterREF,Drosophila_mojavensis
