protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.91924,0.7903225806451613,2.803356245,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.84888,0.8,3.089285577,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.84322,0.7459016393442623,2.482466927,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.86841,0.7670682730923695,3.286557209,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.86037,0.7714285714285715,2.848693123,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.86823,0.75,2.4470641790000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.85362,0.7591836734693878,2.586476563,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.81101,0.7913043478260869,2.796525829,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.84812,0.7336065573770492,2.481047482,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.8727,0.7732793522267206,3.234545502,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.8273,0.7418032786885246,2.4494905840000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.84845,0.757085020242915,3.333610765,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.83987,0.7911111111111111,3.354751783,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.85734,0.7418032786885246,2.360601259,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.81388,0.7288888888888889,2.4386560630000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.84089,0.768888888888889,2.886018567,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.85311,0.7459016393442623,2.462988842,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.87303,0.7732793522267206,3.229501952,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.85366,0.7813765182186234,3.2214030730000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.88778,0.7651821862348178,3.2346874750000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
